,entity,description,category,node_occurence_flag
4245,hwrng,hardware random number generator,hardware,Single
4246,tty11,terminal device,hardware,Single
4247,privileged container,container with elevated privileges,software,Single
4248,CAP_SYS_TIME,kernel capability to set system time,software,Single
4253,Linux kernel capabilities,Capabilities that can be used by a container to perform specific actions.,software,Single
4254,CAP_,Prefix for Linux kernel capabilities.,software,Single
4262,pod-add-settime-capability,Name of a pod that has been created with the SYS_TIME capability.,container,Single
4267,/tmp,Directory where temporary files are stored.,filesystem,Single
4270,securityContext.capabilities.drop,property in Kubernetes Pod configuration to drop specific capabilities,configuration,Single
4275,chown,Unix command to change file ownership,command,Single
4276,securityContext.readOnlyRootFilesystem,property in Kubernetes Pod configuration to set the root filesystem as read-only,configuration,Single
4277,Pod-with-readonly-filesystem,Kubernetes resource representing a Pod with a read-only root filesystem,resource,Single
4286,touch,A command that creates a new file or updates the timestamp of an existing file.,command,Single
4297,EmptyDir,In-memory volume that is deleted when the pod is terminated,process,Single
4298,Security Context,Configuration to specify security settings for a pod or container,software,Single
4299,fsGroup ID,User ID used by containers to access shared files,hardware,Single
4300,Supplemental Group IDs,Additional group IDs used by containers to access shared files,hardware,Single
4303,id command,shows the container is running with user ID 1111,command,Single
4308,privileged pod,pod that has full access to the cluster node,pod type,Single
4309,/volume/foo,file created in the mounted volume's directory,file,Single
4310,/tmp/foo,file created in the container's filesystem,file,Single
4311,fsGroup security context property,used when creating files in a volume,property,Single
4319,host ports,Ports on the host machine that can be bound by pods,hardware,Single
4320,user IDs,IDs under which containers can run,software,Single
4323,PodSecurityPolicy admission control plugin,A plugin that validates pod definitions against configured PodSecurityPolicies,software,Single
4325,apiserver.GenericServerRunOptions.AdmissionControl,An option that enables the PodSecurityPolicy admission control plugin,software,Single
4327,LimitRanger,A feature that enforces resource limits on pods,software,Single
4329,PersistentVolumeLabel,A feature that manages persistent volume labels,software,Single
4330,DefaultStorageClass,A feature that sets a default storage class for pods,software,Single
4332,DefaultTolerationSeconds,A feature that sets a default toleration period for pods,software,Single
4333,BasicAuthFile,A file that contains basic authentication credentials,hardware,Single
4334,password file,A file that contains password and user ID information,hardware,Single
4335,kernel capabilities,,software,Single
4336,SELinux labels,,software,Single
4337,writable root filesystem,,hardware,Single
4338,filesystem groups,,hardware,Single
4339,volume types,,software,Single
4344,hostPorts,allowing pods to bind to specific host ports,hardware,Single
4359,MustRunAs rule,rule in PodSecurityPolicy that constrains user or group IDs,database,Single
4360,ranges,field in MustRunAs rule that specifies allowed ID ranges,process,Single
4363,2-10,"ID range allowed for user ID, filesystem group, and supplemental groups",database,Single
4364,20-30,"ID range allowed for user ID, filesystem group, and supplemental groups",database,Single
4372,USER directive,A command in a Dockerfile that sets the user ID for a container,command,Single
4376,MustRunAsNonRoot,A rule that prevents users from deploying containers that run as root.,process,Single
4380,allowedCapabilities,A field in the PodSecurityPolicy resource that specifies which capabilities containers can add.,field,Single
4381,defaultAddCapabilities,A field in the PodSecurityPolicy resource that specifies which capabilities are automatically added to every container.,field,Single
4385,SYS_ADMIN,A Linux kernel capability that allows a range of administrative operations.,capability,Single
4386,SYS_MODULE,A Linux kernel capability that allows loading and unloading of Linux kernel modules.,capability,Single
4389,security-related features,features related to security in pods,application,Single
4390,CAPABILITIES,capabilities added to every deployed pod's containers,process,Single
4393,PodSecurity-Policy Admission Control plugin,plugin adding capabilities to every container's security-Context.capabilities.drop field,application,Single
4395,pod-add-sysadmin-capability.yaml,file containing YAML configuration for creating a pod with added capability,file,Single
4400,persistentVolume-Claim,volume type allowing users to add persistent volume claims to their pods,database,Single
4407,PodSecurityPolicy Admission Control plugin,A plugin that enforces PodSecurityPolicies when creating pods in Kubernetes.,software,Single
4410,PodSecurityPolicy (psp),A shorthand for PodSecurityPolicy in Kubernetes.,software,Single
4425,default policy,The default PodSecurityPolicy resource that allows running non-privileged containers.,resource,Single
4426,privileged policy,A privileged PodSecurityPolicy resource that allows running privileged containers.,resource,Single
4427,Alice,A user who can only deploy restricted (non-privileged) pods.,user,Single
4428,Bob,A user who can deploy both non-privileged and privileged pods.,user,Single
4429,PodSecurityPolicy resource,A PodSecurityPolicy resource defines a set of privileges that can be used by pods.,resource,Single
4431,psp-default,A ClusterRole that allows the use of the default PodSecurityPolicy resource.,role,Single
4434,psp-all-users,A ClusterRoleBinding that binds the psp-default ClusterRole to all authenticated users.,binding,Single
4438,bob,user account in Kubernetes,application,Single
4439,alice,user account in Kubernetes,application,Single
4441,--user,option for specifying user credentials in kubectl commands,command,Single
4442,podSecurityPolicy,resource that defines a set of permissions for pods,database,Single
4443,context,configuration object that specifies user credentials and cluster information,software,Single
4444,appendix A,section in the book that explains how to use kubectl with multiple clusters and contexts,hardware,Single
4446,Admission Control,plugin for validating pod configurations,software,Single
4449,ingress rules,rules for specifying which sources can access matched pods,software,Single
4450,egress rules,rules for specifying which destinations can be accessed from matched pods,software,Single
4452,namespace selector,selector for matching namespaces based on labels,software,Single
4455,default-deny NetworkPolicy,NetworkPolicy that prevents all clients from connecting to any pod in a namespace,database,Single
4466,5432,PostgreSQL database port number,process,Single
4469,Kubernetes namespaces,a way to group resources in a Kubernetes cluster,application,Single
4475,tenant,a label for identifying a tenant in a Kubernetes cluster,application,Single
4476,manning,the name of a tenant,application,Single
4477,shopping-cart,the name of a microservice,application,Single
4479,microservice,a label for identifying a microservice in a Kubernetes cluster,application,Single
4480,shopping-cart-netpolicy,a NetworkPolicy resource for allowing access to the shopping cart microservice,software,Single
4489,ingress rule,A NetworkPolicy rule that allows traffic from a specific IP block or pod selector.,software,Single
4493,shopping-cart microservice,A Kubernetes application that provides a shopping cart service.,application,Single
4498,egress,An egress rule in a NetworkPolicy that limits outbound traffic,software,Single
4499,to,A keyword indicating the destination of an egress rule,software,Single
4508,devices,Hardware components that can be accessed by containers in privileged mode,hardware,Single
4523,if=/dev/zero,"A file descriptor pointing to the /dev/zero device, which generates zeros on demand",filedescriptor,Single
4524,of=/dev/null,"A file descriptor pointing to /dev/null, which discards any data written to it",filedescriptor,Single
4537,Mem,memory usage metric,process,Single
4540,top,command to display system information,software,Single
4541,Minikube VM,virtual machine used for testing,hardware,Single
4554,LeastRequestedPriority,A prioritization function that prefers nodes with fewer requested resources.,process,Single
4555,MostRequestedPriority,A prioritization function that prefers nodes with the most requested resources.,process,Single
4560,Capacity,"total resources available on a node, including CPU and memory",hardware,Single
4580,PodScheduled,A condition indicating whether a pod has been scheduled on a node.,application,Single
4581,FailedScheduling,An event indicating that scheduling of a pod has failed.,application,Single
4582,Insufficient cpu,A reason for failing to schedule a pod due to insufficient CPU resources on a node.,hardware,Single
4584,cores,"A measure of a computer's processing power, equivalent to the number of CPUs available.",hardware,Single
4587,dflt-http-b...,pod name,process,Single
4588,kube-addon-...,pod name,process,Single
4589,kube-dns-26...,pod name,process,Single
4590,kubernetes-...,pod name,process,Single
4591,nginx-ingre...,pod name,process,Single
4594,CPU Requests,resource type,hardware,Single
4595,CPU Limits,resource type,hardware,Single
4596,Memory Requests,resource type,hardware,Single
4597,Memory Limits,resource type,hardware,Single
4610,custom resources,"Resources added by the user to a node, such as Opaque Integer Resources or Extended Resources.",resource_management,Single
4611,Extended Resources,A type of custom resource in Kubernetes that provides additional resources to pods and containers.,resource_management,Single
4612,Opaque Integer Resources,An older type of custom resource in Kubernetes that was replaced by Extended Resources.,resource_management,Single
4613,CPU time sharing,The process of distributing unused CPU time among pods and containers based on their CPU requests.,resource_management,Single
4616,PATCH HTTP request,HTTP request method to update a resource,protocol,Single
4617,capacity field,Field in the Node object to specify custom resources,field,Single
4618,example.org/my-resource,Custom resource name,resource,Single
4619,quantity,Integer value for custom resource allocation,parameter,Single
4620,resources.requests field,Field in the container spec to specify requested resources,field,Single
4622,GPU units,Custom resource representing available GPU units,resource,Single
4625,resources.requests,Parameter to specify requested resources for a pod,parameter,Single
4641,overcommitting,The ability to allocate more resources than available on the node,process,Single
4653,container restart policy,the policy for restarting a container when it crashes,process,Single
4658,CPU limit,the maximum amount of CPU time available to a container,resource,Single
4661,top command,system monitoring command that displays memory and CPU usage statistics,process,Single
4662,dd command,data duplication command used to generate load on the system,process,Single
4666,Java Virtual Machine,JVM that runs Java apps,software,Single
4667,-Xmx option,option to set maximum heap size for JVM,software,Single
4669,OOMKill,out-of-memory kill signal sent by the kernel,process,Single
4671,cgroups system,system that controls resource usage for containers,software,Single
4672,/sys/fs/cgroup/cpu/cpu.cfs_quota_us,file that stores the configured CPU limit,filesystem,Single
4673,/sys/fs/cgroup/cpu/cpu.cfs_period_us,file that stores the period of time over which the CPU limit is enforced,filesystem,Single
4675,BestEffort class,"Lowest priority QoS class, assigned to pods with no resource requests or limits set",application,Single
4676,Burstable class,QoS class for pods that can burst beyond their requested resources,application,Single
4677,Guaranteed class,"Highest priority QoS class, assigned to pods with equal requests and limits set for all resources",application,Single
4698,YAML/JSON manifest,File format for storing configuration data in Kubernetes,software,Single
4699,status.qosClass field,Field in the pod's YAML/JSON manifest that shows its QoS class,field,Single
4703,Table 14.1,Table showing QoS classes for single-container pods based on resource requests and limits,table,Single
4704,Table 14.2,Table showing a Pod’s QoS class derived from the classes of its containers,table,Single
4712,Validation,The process of checking the validity of resources in a cluster,software,Single
4718,Namespace XYZ,A specific namespace with a LimitRange resource,network,Single
4720,LimitRanger Admission Control plugin,A Kubernetes plugin that validates pod specs against LimitRange resources.,software,Single
4723,LimitRange object,A Kubernetes resource that specifies limits for pods and containers.,software,Single
4758,cpu usage,Maximum CPU usage per pod or container,process,Single
4759,memory usage,Maximum memory usage per pod or container,process,Single
4769,LimitRanger plugin,an Admission Control plugin that enforces policies configured in LimitRange resources,software,Single
4770,ResourceQuota Admission Control plugin,an Admission Control plugin that checks whether a pod being created would cause the configured ResourceQuota to be exceeded,software,Single
4778,hard,a field in the ResourceQuota object that defines the maximum amount of resources allowed,software,Single
4791,kubectl describe command,command used to see how much of the quota is already used up,application,Single
4792,cpu-and-mem,ResourceQuota object name,database,Single
4794,limits.cpu 200m,maximum total CPU limits in the namespace,process,Single
4795,limits.memory 100Mi,maximum total limits for memory resources,process,Single
4796,requests.cpu 100m,maximum amount of CPU pods can request,process,Single
4797,requests.memory 10Mi,maximum total requests for memory resources,process,Single
4810,Storage,A resource that can be limited by ResourceQuota,hardware,Single
4818,loadbalancers,A Service that distributes incoming traffic across multiple Pods,software,Single
4819,nodeports,A Service that exposes a single port on the node's IP address,networking,Single
4823,quota scopes,"Four quota scopes available: BestEffort, NotBestEffort, Terminating, and NotTerminating.",software,Single
4824,BestEffort scope,Applies to pods with the BestEffort QoS class or with one of the other two classes (Burstable and Guaranteed).,software,Single
4825,NotBestEffort scope,Determines whether the quota applies to pods with the NotBestEffort QoS class.,software,Single
4826,Terminating scope,"Applies to pods that have the activeDeadlineSeconds set, marking them as Failed and then terminated.",software,Single
4827,NotTerminating scope,Applies to pods that don't have an active deadline set.,software,Single
4831,CPU/memory requests,"Resource limits for pods, which can be limited by a ResourceQuota.",hardware,Single
4832,CPU/memory limits,"Resource limits for pods, which can be limited by a ResourceQuota.",hardware,Single
4846,kubectl top command,A command used to display resource usages for nodes and individual pods.,command,Single
4848,minikube addons enable heapster command,A command used to enable Heapster as an add-on in Minikube.,command,Single
4849,kubectl top node command,A command used to display actual CPU and memory usage of all pods running on a node.,command,Single
4851,kubectl top pod command,A command used to display actual CPU and memory usage of individual pods.,command,Single
4854,top_pod.go,file containing top pod command implementation,software,Single
4860,Google Cloud Monitoring,service for monitoring Google Kubernetes Engine clusters,cloud service,Single
4866,resource consumption statistics,data about how much CPU or memory pods consumed throughout a period,software,Single
4872,cluster-info,A command to display information about the Kubernetes cluster,command,Single
4883,network,A type of computational resource that measures data transfer rate,hardware,Single
4892,Resource limits,The maximum amount of resources a pod can use,process,Single
4894,Memory usage,The amount of memory used by a container,resource,Single
4895,QoS classes,A way to prioritize pods based on their resource needs,process,Single
4896,CPU request,The amount of processing power requested by a pod,resource,Single
4897,Memory request,The amount of memory requested by a pod,resource,Single
4910,Replicas field,"A field in the ReplicationController, ReplicaSet, and Deployment resources that determines how many replicas of a pod to run.",software,Single
4912,custom metrics,"User-defined metrics that can be used to determine the load on a system, used for automatic horizontal scaling.",software,Single
4917,autoscaling,Feature in Kubernetes that scales pods and nodes,feature,Single
4923,REST calls,Method used by HPA to query Heapster for metrics,protocol,Single
4935,Pod metrics,Metrics collected from pods to determine the required number of replicas.,software,Single
4939,Resource metrics API,An API that provides metrics for resources in a cluster.,application,Single
4940,Metrics collector,A component that collects metrics from pods and other sources.,software,Single
4941,Autoscaling operation,The final step of an autoscaling operation,process,Single
4942,desired replica count field,A field on the scaled resource object,field,Single
4945,Autoscaler controller,A controller that modifies the replicas field through the Scale sub-resource,controller,Single
4946,Scale sub-resource,A sub-resource of the API server that exposes the scaleable resource,resource,Single
4954,Target CPU utilization,A target value for CPU utilization,target,Single
4955,Target QPS,A target value for QPS,target,Single
4984,replicas: 3,The initial number of replicas for the Deployment.,application,Single
4986,metadata: name: kubia,"Information about the pod being created, including its name.",software,Single
4987,labels: app: kubia,Labels applied to the pod for identification and organization.,software,Single
4989,image: luksa/kubia:v1,The image being used to create the container.,software,Single
4990,name: nodejs,The name of the container being created.,container,Single
4994,kubectl autoscale command,A command used to create a HorizontalPodAutoscaler (HPA) object and enable horizontal autoscaling.,command,Single
5004,autoscaling/v2beta1,API version for Horizontal Pod Autoscaler,software,Single
5012,Metrics,Data collected by Heapster to monitor the cluster,data,Single
5014,Target,"Desired value for a metric, in this case, CPU utilization",data,Single
5015,MinPods,Minimum number of pods allowed by the autoscaler,process,Single
5016,MaxPods,Maximum number of pods allowed by the autoscaler,process,Single
5018,SuccessfulRescale,,process,Single
5019,New size: 1; reason: All metrics below target,,message,Single
5020,horizontal-pod-autoscaler,,software,Single
5022,target,,process,Single
5027,"$ watch -n 1 kubectl get hpa,deployment",,command,Single
5028,hpa/kubia,,software,Single
5030,MINPODS,,process,Single
5031,MAXPODS,,process,Single
5032,REPLICAS,,process,Single
5034,"hpa,deployment",,software,Single
5035,$ kubectl run -it --rm --restart=Never loadgenerator --image=busybox ,,command,Single
5036,loadgenerator,,software,Single
5037,--image=busybox,,process,Single
5038,sh -c,,process,Single
5039,wget -O - -q http://kubia.default,,command,Single
5041,-it,option to attach console to process,software,Single
5042,--rm,option to delete pod after execution,software,Single
5043,--restart=Never,option to create unmanaged pod directly,software,Single
5058,targetAverageUtilization field,field in HPA resource to set CPU utilization target,field,Single
5059,maxReplicas parameter,parameter to set maximum number of replicas,parameter,Single
5060,metrics section,section in HPA resource to specify metrics for scaling,section,Single
5061,Resource type,type of resource being scaled (e.g. CPU),resource type,Single
5062,autoscaler controller,controller that detects changes to HPA resource and scales pods accordingly,process,Single
5065,Horizontal Autoscaler,Kubernetes component for scaling pods,software,Single
5067,memory consumption,Metric used to scale pods based on memory usage,metric,Single
5070,HPA (Horizontal Pod Autoscaler),Kubernetes component for scaling pods based on CPU utilization,software,Single
5076,metrics field,A field in the HPA object that defines the metric to use for scaling.,software,Single
5078,Pods metric,"A type of metric that is based on the pod itself, such as QPS or message queue size.",application,Single
5079,Object metric,"A type of metric that is not directly related to the pod, but rather to another cluster object, like an Ingress object.",application,Single
5081,container's resource requests,"The resources requested by a container, such as CPU or memory.",application,Single
5082,Queries-Per-Second (QPS),A metric that measures the number of queries per second.,software,Single
5083,message broker's queue,"A message queue used by a message broker, such as RabbitMQ or Apache Kafka.",application,Single
5085,Ingress object,A Kubernetes object that defines an ingress point for incoming HTTP requests.,software,Single
5086,Object,"A Kubernetes object, such as a pod or deployment",software,Single
5088,latencyMillis,A metric measuring latency in milliseconds,software,Single
5089,targetValue,"The target value for a metric, used by the horizontal pod autoscaler",software,Single
5093,frontend,The name of a Kubernetes ingress object,software,Single
5102,Vertical pod autoscaling,A feature that allows pods to be scaled down to zero and brought up when a new request comes in.,application,Single
5109,InitialResources,An experimental feature that sets CPU and memory requests on newly created pods.,application,Single
5111,Tag,A label used to identify a specific version or build of a container image.,hardware,Single
5112,Historical resource usage data,Data about the past resource usage of a pod's containers.,application,Single
5113,Vertical scaling,The process of increasing the resources (CPU and memory) available to a pod.,application,Single
5116,Pod Autoscaler,Automatically scales pod instances,application,Single
5120,Node group,Group of same-sized nodes or nodes with the same features,hardware,Single
5124,API call,Request to cloud provider to add additional node,process,Single
5130,CPU and memory requests,the amount of CPU and memory resources required by pods running on a node,hardware,Single
5131,system pods,"pods that run on every node in the cluster, such as those deployed by a DaemonSet",software,Single
5132,unmanaged pod,a pod that is not managed by a controller or ReplicaSet,software,Single
5133,pod with local storage,a pod that requires access to local storage on a node,software,Single
5136,node group,a collection of nodes in a Kubernetes cluster that can be scaled up or down together,software,Single
5140,Google Compute Engine (GCE),"a service for running virtual machines in the cloud, provided by Google Cloud Platform",cloud platform,Single
5141,Amazon Web Services (AWS),a comprehensive cloud computing platform provided by Amazon,cloud platform,Single
5142,Microsoft Azure,a cloud computing platform provided by Microsoft,cloud platform,Single
5144,cordon,a kubectl command that marks a node as unschedulable but doesn't evict pods,command,Single
5145,drain,a kubectl command that marks a node as unschedulable and evicts all pods from the node,command,Single
5146,uncordon,"a kubectl command that unmarks a node as unschedulable, allowing new pods to be scheduled on it",command,Single
5148,Pod-DisruptionBudget,a Kubernetes resource that specifies the minimum number of pods that must always be available,software,Single
5153,Drain command,"a kubectl command that evicts a node from the cluster, allowing it to be updated or replaced",software,Single
5154,MinAvailable,a field in the Pod-DisruptionBudget resource that specifies the minimum number of pods that must always be available,process,Single
5155,MaxUnavailable,a field in the Pod-DisruptionBudget resource that specifies the maximum number of pods that can be unavailable,process,Single
5164,minAvailable,Parameter for specifying the minimum available pods,parameter,Single
5166,CTRL+C,Key combination for stopping and deleting a pod,key combination,Single
5169,node selector,Mechanism to specify a node for pod scheduling,process,Single
5172,node affinity rules,Alternative to node selectors for pod scheduling,process,Single
5182,describe node,A command used to display information about a node in a Kubernetes cluster,software,Single
5184,Control Plane pods,Pods that run the control plane components of a Kubernetes cluster,application,Single
5185,master node,The master node in a Kubernetes cluster,hardware,Single
5190,node-role.kubernetes.io/master,a taint applied to the master node,kubernetes,Single
5193,Exists:NoExecute,a toleration effect that prevents pods from running on a node if it is unreachable or not ready,kubernetes,Single
5200,Tolerations,Allow pods to run on tainted nodes,process,Single
5204,Taints,Mark nodes with specific conditions,process,Single
5205,kubectl taint command,Command to add custom taints to a node,command,Single
5208,NoSchedule effect,Effect that prevents pod scheduling on a node,effect,Single
5213,pod YAML,YAML snippet for adding tolerations to pods,yaml,Single
5229,toleration,Mechanism to specify how long Kubernetes should wait before rescheduling a pod,process,Single
5230,$ kubectl get po prod-350605-1ph5h -o yaml,Command to retrieve pod information in YAML format,command,Single
5232,node.alpha.kubernetes.io/unreachable,Label for a node that is unreachable,label,Single
5233,tolerationSeconds,Field to specify how long Kubernetes should wait before rescheduling a pod,field,Single
5235,--feature-gates=Taint-BasedEvictions=true,Option to enable taint-based evictions in the Controller Manager,option,Single
5239,Listing 16.6,Reference to a listing in the chapter,reference,Single
5242,Node Selectors,A feature that allows you to specify which nodes a pod can be scheduled on.,Software/Application,Single
5246,GKE (Google Kubernetes Engine),A managed container orchestration service provided by Google Cloud Platform.,Cloud Service,Single
5247,Node Pools,A group of nodes that can be used for scheduling pods.,Software/Application,Single
5248,Region,The geographical region where a node is located.,Hardware/Location,Single
5249,Zone,The availability zone where a node is located.,Hardware/Location,Single
5255,requiredDuringSchedulingIgnoredDuringExecution,"a field in the nodeAffinity rule that specifies the labels a node must have for the pod to be scheduled to it, and ignores existing pods on the node","software,application",Single
5258,key: gpu,a key-value pair in the matchExpressions that specifies the label to match for the node selector,"hardware,label",Single
5259,operator: In,an operator in the matchExpressions that specifies how to match the label for the node selector,"software,application",Single
5260,values: - true,a list of values in the matchExpressions that specifies the value to match for the node selector,"hardware,label",Single
5265,gpu label,a specific label on a node that indicates it has a GPU,hardware,Single
5267,availability zone,"a separate availability zone, such as a datacenter across different countries",hardware,Single
5280,pref,Name of a Deployment with preferred node affinity,Software,Single
5281,preferred-deployment.yaml,Deployment manifest for specifying preferential node affinity rules,Software,Single
5292,zone1,a specific availability zone,hardware,Single
5293,dedicated,a specific share type,hardware,Single
5296,-o wide,option to display pod information in wide format,software,Single
5300,pref-607515-1rnwv,pod name and ID,container,Single
5301,pref-607515-27wp0,pod name and ID,container,Single
5302,pref-607515-5xd0z,pod name and ID,container,Single
5303,pref-607515-jx9wt,pod name and ID,container,Single
5304,pref-607515-mlgqm,pod name and ID,container,Single
5305,Selector-SpreadPriority,Kubernetes scheduling function to spread pods across nodes,software,Single
5309,frontend pod,type of pod for a frontend service,container,Single
5311,pod affinity configuration,configuration to place pods near each other,software,Single
5324,get po -o wide,a command for getting pod information in wide format,command,Single
5326,frontend-podaffinity-host.yaml,a YAML file defining a frontend pod with pod affinity rules,file,Single
5332,podAffinity configuration,a set of rules defining how pods are scheduled based on affinity labels,software,Single
5334,frontend pods,a set of frontend pods that were scheduled to node2.k8s based on pod affinity rules,container,Single
5336,anti-affinity,a scheduling strategy that prevents pods from being deployed on the same node,application,Single
5337,backend-qhqj6,a pod name,container,Single
5340,InterPodAffinityPriority,a scheduling priority for inter-pod affinity,application,Single
5341,SelectorSpreadPriority,a scheduling priority for selector spread,application,Single
5342,NodeAffinityPriority,a scheduling priority for node affinity,application,Single
5345,failure-domain.beta.kubernetes.io/zone,a label key for specifying an availability zone,label,Single
5346,failure-domain.beta.kubernetes.io/region,a label key for specifying a geographical region,label,Single
5363,podAffinityTerm,a specification for the pod affinity term,software,Single
5374,backend-257820-ssrgj,pod name and ID,container,Single
5375,frontend-941083-3mff9,pod name and ID,container,Single
5376,frontend-941083-7fp7d,pod name and ID,container,Single
5377,frontend-941083-cq23b,pod name and ID,container,Single
5378,frontend-941083-m70sw,pod name and ID,container,Single
5379,frontend-941083-wsjv8,pod name and ID,container,Single
5380,podAntiAffinity,property for specifying pod anti-affinity preferences,software,Single
5383,Topology key,key used to specify the topology of a node,software,Single
5385,Pod Affinity,A feature that allows you to schedule pods on specific nodes based on labels and selectors.,Software/Application,Single
5387,Pod AntiAffinity,A feature that prevents pods from being scheduled on the same node based on labels and selectors.,Software/Application,Single
5391,LabelSelector,A selector used to match pods based on labels attached to them.,Software/Application,Single
5392,TopologyKey,"A key used to identify the topology of a node, such as its hostname or IP address.",Software/Framework,Single
5396,$ kubectl get po -l app=frontend -o wide,A command used to retrieve information about pods with a specific label.,Software/Command,Single
5399,taint,a label that prevents pods from being scheduled on a node,process,Single
5402,affinity,a property of a pod that specifies which nodes it can be scheduled on,process,Single
5405,hard requirement,a type of node affinity that requires pods to be scheduled on specific nodes,process,Single
5409,Resources,Components that make up a Kubernetes application,application,Single
5410,Hooks,Functions that run at specific points in the pod lifecycle,process,Single
5411,Init containers,Containers that run before the main container in a pod,container,Single
5418,Volume(s),Provides persistent storage for pods,hardware,Single
5419,ReplicaSet(s),Manages the number of replicas of a pod,software,Single
5421,Health probes,Checks the health of a container or pod,software,Single
5423,Volume mounts,Mounts a volume to a container's file system,hardware,Single
5424,Resource reqs/limits,Defines resource constraints for pods and containers,software,Single
5427,Secret(s),"Stores sensitive data, such as passwords and API keys",software,Single
5429,Persistent Volume Claim,Requests storage resources from a cluster,hardware,Single
5454,clustered app,Application running in multiple pods,application,Single
5458,OOMKiller,Process that kills processes when the node runs out of memory,process,Single
5461,pod-scoped volume,Volume that lives and dies together with the pod,storage,Single
5465,Writes to,An operation that saves data to a file or filesystem.,Process,Single
5467,Writable layer,A part of the container's filesystem where changes can be made.,Software,Single
5468,Read-only layer,A part of the container's filesystem that cannot be modified.,Software,Single
5469,Image layers,Pre-built components that make up a container image.,Software,Single
5471,New container,A new instance of a container created to replace an existing one.,Software,Single
5472,New process,A new program in execution within a container.,Process,Single
5473,Filesystem volumeMount,The ability to mount a filesystem as a directory within a container.,Hardware,Single
5502,fortune-client pod,a pod that requires the fortune Service to be up before its main container starts,application,Single
5503,initContainers field,specifies init containers in a pod's YAML spec,software,Single
5505,while true loop,a loop that runs until the fortune Service is up,programming language,Single
5506,wget command,used to check if the fortune Service is responding to requests,command,Single
5508,init container,An init container is a special type of container that runs before the main container(s) in a pod.,container,Single
5512,fortune-server pod,A pod that runs the fortune server.,application,Single
5515,lifecycle hooks,Hooks that can be used to execute commands or perform HTTP requests when a container starts or stops.,process,Single
5516,post-start hooks,A type of lifecycle hook that is executed when a container starts.,process,Single
5517,pre-stop hooks,A type of lifecycle hook that is executed before a container stops.,process,Single
5518,Post-Start Hook,A hook executed immediately after the container's main process is started.,Container Lifecycle,Single
5522,Pending,The status of a pod while its containers are being created.,Pod Status,Single
5531,postStart,A field in the lifecycle hook specification that specifies a post-start hook to be executed when the container starts.,Lifecycle Hook,Single
5534,sh,The shell used to execute a shell script or binary executable file stored in the container image.,Shell,Single
5536,exit,A command used to terminate the execution of a hook with a specified exit code.,Hook Command,Single
5537,PostStart Hook,A hook executed immediately after a container starts.,container lifecycle,Single
5538,FailedSync,"An error syncing pod, skipping: failed to start container.",pod events,Single
5539,PostStart handler,A command executed immediately after a container starts.,container lifecycle,Single
5540,Get http://10.32.0.2:9090/postStart,An HTTP GET hook handler.,container lifecycle,Single
5541,dial tcp 10.32.0.2:9090,A network error connecting to port 9090.,network,Single
5547,kubectl exec my-pod cat logfile.txt,A command to execute a process in a pod and display its output.,command,Single
5552,scheme,A field used to specify the scheme (HTTP or HTTPS) for an HTTP GET request.,process,Single
5554,httpHeaders,A field used to specify headers that should be sent in an HTTP GET request.,process,Single
5559,shell script,A script that runs as the main container process and can handle signals and pass them on to child processes.,script,Single
5566,deletionTimestamp,A field in a Pod object that indicates when the pod is scheduled to be deleted.,database,Single
5572,spec.terminationGracePeriodSeconds,A field in the pod spec that configures the termination grace period.,command,Single
5579,pod instances,The individual containers that make up a pod.,container,Single
5589,data-migrating pod,A pod that runs a script to migrate data from one location to another.,pod,Single
5593,Service Endpoints,List of IP addresses of pods providing a service,network,Single
5595,HTTP GET,Request method for retrieving data from a server,protocol,Single
5601,Scale down,Action to reduce the number of replicas,process,Single
5605,client requests,requests handled properly by Kubernetes,application,Single
5615,pod deletion notification,notification sent to components when a pod is deleted,event,Single
5623,Iptables rules,Rules used to filter and manage incoming and outgoing network traffic in a Linux system.,network,Single
5624,Connection Refused error,An error that occurs when a client tries to connect to a terminated pod.,error,Single
5625,REST request,A type of HTTP request used for interacting with web services.,protocol,Single
5627,Watcher(s),Components in the Kubernetes control plane that monitor and respond to changes in cluster resources.,software,Single
5633,deletionTimestamp field,A field in the pod's spec that indicates when it will be deleted,database,Single
5634,kube-proxies,Components that modify iptables rules,application,Single
5636,load balancers,Components that distribute traffic across multiple servers,network,Single
5637,client-side load-balancing,A technique used by clients to distribute traffic across multiple servers,application,Single
5642,termination signal,A signal sent to a pod to terminate it,process,Single
5658,FROM scratch directive,Instruction in a Dockerfile for creating an empty image,software,Single
5660,dig,DNS lookup tool,software,Single
5663,latest tag,Tag used to refer to the most recent image version,software,Single
5665,tags,container tags with version designator,software,Single
5669,multi-dimensional labels,multiple labels per resource for selection across dimensions,software,Single
5679,/dev/termination-log,Default file for termination message,file,Single
5683,Container definition,Section in the pod spec that defines a container,software,Single
5685,/var/termination-reason,Custom file for termination message,file,Single
5687,Error,Reason for container termination,error,Single
5688,Exit Code,Code returned by the container when it exits,field,Single
5692,terminationMessagePolicy field,a field that determines how a termination message is handled,field,Single
5693,FallbackToLogsOnError policy,a policy that uses the last few lines of a container's log as its termination message when it terminates unsuccessfully,policy,Single
5694,standard output,the default output stream for an application,output,Single
5695,kubernetes logs command,a command to view container logs,command,Single
5697,cat command,a command to display the contents of a file,command,Single
