,index,Unnamed: 0,entity,description,category,node_occurence_flag
1391,1391,4653,container restart policy,the policy for restarting a container when it crashes,process,Single
1392,1392,4658,CPU limit,the maximum amount of CPU time available to a container,resource,Single
1393,1393,4661,top command,system monitoring command that displays memory and CPU usage statistics,process,Single
1394,1394,4662,dd command,data duplication command used to generate load on the system,process,Single
1395,1395,4666,Java Virtual Machine,JVM that runs Java apps,software,Single
1396,1396,4667,-Xmx option,option to set maximum heap size for JVM,software,Single
1397,1397,4669,OOMKill,out-of-memory kill signal sent by the kernel,process,Single
1398,1398,4671,cgroups system,system that controls resource usage for containers,software,Single
1399,1399,4672,/sys/fs/cgroup/cpu/cpu.cfs_quota_us,file that stores the configured CPU limit,filesystem,Single
1400,1400,4673,/sys/fs/cgroup/cpu/cpu.cfs_period_us,file that stores the period of time over which the CPU limit is enforced,filesystem,Single
1401,1401,4675,BestEffort class,"Lowest priority QoS class, assigned to pods with no resource requests or limits set",application,Single
1402,1402,4676,Burstable class,QoS class for pods that can burst beyond their requested resources,application,Single
1403,1403,4677,Guaranteed class,"Highest priority QoS class, assigned to pods with equal requests and limits set for all resources",application,Single
1404,1404,4698,YAML/JSON manifest,File format for storing configuration data in Kubernetes,software,Single
1405,1405,4699,status.qosClass field,Field in the pod's YAML/JSON manifest that shows its QoS class,field,Single
1406,1406,4703,Table 14.1,Table showing QoS classes for single-container pods based on resource requests and limits,table,Single
1407,1407,4704,Table 14.2,Table showing a Pod’s QoS class derived from the classes of its containers,table,Single
1408,1408,4712,Validation,The process of checking the validity of resources in a cluster,software,Single
1409,1409,4718,Namespace XYZ,A specific namespace with a LimitRange resource,network,Single
1410,1410,4720,LimitRanger Admission Control plugin,A Kubernetes plugin that validates pod specs against LimitRange resources.,software,Single
1411,1411,4723,LimitRange object,A Kubernetes resource that specifies limits for pods and containers.,software,Single
1412,1412,4758,cpu usage,Maximum CPU usage per pod or container,process,Single
1413,1413,4759,memory usage,Maximum memory usage per pod or container,process,Single
1414,1414,4769,LimitRanger plugin,an Admission Control plugin that enforces policies configured in LimitRange resources,software,Single
1415,1415,4770,ResourceQuota Admission Control plugin,an Admission Control plugin that checks whether a pod being created would cause the configured ResourceQuota to be exceeded,software,Single
1416,1416,4778,hard,a field in the ResourceQuota object that defines the maximum amount of resources allowed,software,Single
1417,1417,4791,kubectl describe command,command used to see how much of the quota is already used up,application,Single
1418,1418,4792,cpu-and-mem,ResourceQuota object name,database,Single
1419,1419,4794,limits.cpu 200m,maximum total CPU limits in the namespace,process,Single
1420,1420,4795,limits.memory 100Mi,maximum total limits for memory resources,process,Single
1421,1421,4796,requests.cpu 100m,maximum amount of CPU pods can request,process,Single
1422,1422,4797,requests.memory 10Mi,maximum total requests for memory resources,process,Single
1423,1423,4810,Storage,A resource that can be limited by ResourceQuota,hardware,Single
1424,1424,4818,loadbalancers,A Service that distributes incoming traffic across multiple Pods,software,Single
1425,1425,4819,nodeports,A Service that exposes a single port on the node's IP address,networking,Single
1426,1426,4823,quota scopes,"Four quota scopes available: BestEffort, NotBestEffort, Terminating, and NotTerminating.",software,Single
1427,1427,4824,BestEffort scope,Applies to pods with the BestEffort QoS class or with one of the other two classes (Burstable and Guaranteed).,software,Single
1428,1428,4825,NotBestEffort scope,Determines whether the quota applies to pods with the NotBestEffort QoS class.,software,Single
1429,1429,4826,Terminating scope,"Applies to pods that have the activeDeadlineSeconds set, marking them as Failed and then terminated.",software,Single
1430,1430,4827,NotTerminating scope,Applies to pods that don't have an active deadline set.,software,Single
1431,1431,4831,CPU/memory requests,"Resource limits for pods, which can be limited by a ResourceQuota.",hardware,Single
1432,1432,4832,CPU/memory limits,"Resource limits for pods, which can be limited by a ResourceQuota.",hardware,Single
1433,1433,4846,kubectl top command,A command used to display resource usages for nodes and individual pods.,command,Single
1434,1434,4848,minikube addons enable heapster command,A command used to enable Heapster as an add-on in Minikube.,command,Single
1435,1435,4849,kubectl top node command,A command used to display actual CPU and memory usage of all pods running on a node.,command,Single
1436,1436,4851,kubectl top pod command,A command used to display actual CPU and memory usage of individual pods.,command,Single
1437,1437,4854,top_pod.go,file containing top pod command implementation,software,Single
1438,1438,4860,Google Cloud Monitoring,service for monitoring Google Kubernetes Engine clusters,cloud service,Single
1439,1439,4866,resource consumption statistics,data about how much CPU or memory pods consumed throughout a period,software,Single
1440,1440,4872,cluster-info,A command to display information about the Kubernetes cluster,command,Single
1441,1441,4883,network,A type of computational resource that measures data transfer rate,hardware,Single
1442,1442,4892,Resource limits,The maximum amount of resources a pod can use,process,Single
1443,1443,4894,Memory usage,The amount of memory used by a container,resource,Single
1444,1444,4895,QoS classes,A way to prioritize pods based on their resource needs,process,Single
1445,1445,4896,CPU request,The amount of processing power requested by a pod,resource,Single
1446,1446,4897,Memory request,The amount of memory requested by a pod,resource,Single
1447,1447,4910,Replicas field,"A field in the ReplicationController, ReplicaSet, and Deployment resources that determines how many replicas of a pod to run.",software,Single
1448,1448,4912,custom metrics,"User-defined metrics that can be used to determine the load on a system, used for automatic horizontal scaling.",software,Single
1449,1449,4917,autoscaling,Feature in Kubernetes that scales pods and nodes,feature,Single
1450,1450,4923,REST calls,Method used by HPA to query Heapster for metrics,protocol,Single
1451,1451,4935,Pod metrics,Metrics collected from pods to determine the required number of replicas.,software,Single
1452,1452,4939,Resource metrics API,An API that provides metrics for resources in a cluster.,application,Single
1453,1453,4940,Metrics collector,A component that collects metrics from pods and other sources.,software,Single
1454,1454,4941,Autoscaling operation,The final step of an autoscaling operation,process,Single
1455,1455,4942,desired replica count field,A field on the scaled resource object,field,Single
1456,1456,4945,Autoscaler controller,A controller that modifies the replicas field through the Scale sub-resource,controller,Single
1457,1457,4946,Scale sub-resource,A sub-resource of the API server that exposes the scaleable resource,resource,Single
1458,1458,4954,Target CPU utilization,A target value for CPU utilization,target,Single
1459,1459,4955,Target QPS,A target value for QPS,target,Single
1460,1460,4984,replicas: 3,The initial number of replicas for the Deployment.,application,Single
1461,1461,4986,metadata: name: kubia,"Information about the pod being created, including its name.",software,Single
1462,1462,4987,labels: app: kubia,Labels applied to the pod for identification and organization.,software,Single
1463,1463,4989,image: luksa/kubia:v1,The image being used to create the container.,software,Single
1464,1464,4990,name: nodejs,The name of the container being created.,container,Single
1465,1465,4994,kubectl autoscale command,A command used to create a HorizontalPodAutoscaler (HPA) object and enable horizontal autoscaling.,command,Single
1466,1466,5004,autoscaling/v2beta1,API version for Horizontal Pod Autoscaler,software,Single
1467,1467,5012,Metrics,Data collected by Heapster to monitor the cluster,data,Single
1468,1468,5014,Target,"Desired value for a metric, in this case, CPU utilization",data,Single
1469,1469,5015,MinPods,Minimum number of pods allowed by the autoscaler,process,Single
1470,1470,5016,MaxPods,Maximum number of pods allowed by the autoscaler,process,Single
1486,1486,5041,-it,option to attach console to process,software,Single
1487,1487,5042,--rm,option to delete pod after execution,software,Single
1488,1488,5043,--restart=Never,option to create unmanaged pod directly,software,Single
1489,1489,5058,targetAverageUtilization field,field in HPA resource to set CPU utilization target,field,Single
1490,1490,5059,maxReplicas parameter,parameter to set maximum number of replicas,parameter,Single
1491,1491,5060,metrics section,section in HPA resource to specify metrics for scaling,section,Single
1492,1492,5061,Resource type,type of resource being scaled (e.g. CPU),resource type,Single
1493,1493,5062,autoscaler controller,controller that detects changes to HPA resource and scales pods accordingly,process,Single
1494,1494,5065,Horizontal Autoscaler,Kubernetes component for scaling pods,software,Single
1495,1495,5067,memory consumption,Metric used to scale pods based on memory usage,metric,Single
1496,1496,5070,HPA (Horizontal Pod Autoscaler),Kubernetes component for scaling pods based on CPU utilization,software,Single
1497,1497,5076,metrics field,A field in the HPA object that defines the metric to use for scaling.,software,Single
1498,1498,5078,Pods metric,"A type of metric that is based on the pod itself, such as QPS or message queue size.",application,Single
1499,1499,5079,Object metric,"A type of metric that is not directly related to the pod, but rather to another cluster object, like an Ingress object.",application,Single
1500,1500,5081,container's resource requests,"The resources requested by a container, such as CPU or memory.",application,Single
1501,1501,5082,Queries-Per-Second (QPS),A metric that measures the number of queries per second.,software,Single
1502,1502,5083,message broker's queue,"A message queue used by a message broker, such as RabbitMQ or Apache Kafka.",application,Single
1503,1503,5085,Ingress object,A Kubernetes object that defines an ingress point for incoming HTTP requests.,software,Single
1504,1504,5086,Object,"A Kubernetes object, such as a pod or deployment",software,Single
1505,1505,5088,latencyMillis,A metric measuring latency in milliseconds,software,Single
1506,1506,5089,targetValue,"The target value for a metric, used by the horizontal pod autoscaler",software,Single
1507,1507,5093,frontend,The name of a Kubernetes ingress object,software,Single
1508,1508,5102,Vertical pod autoscaling,A feature that allows pods to be scaled down to zero and brought up when a new request comes in.,application,Single
1509,1509,5109,InitialResources,An experimental feature that sets CPU and memory requests on newly created pods.,application,Single
1510,1510,5111,Tag,A label used to identify a specific version or build of a container image.,hardware,Single
1511,1511,5112,Historical resource usage data,Data about the past resource usage of a pod's containers.,application,Single
1512,1512,5113,Vertical scaling,The process of increasing the resources (CPU and memory) available to a pod.,application,Single
1513,1513,5116,Pod Autoscaler,Automatically scales pod instances,application,Single
1514,1514,5120,Node group,Group of same-sized nodes or nodes with the same features,hardware,Single
1515,1515,5124,API call,Request to cloud provider to add additional node,process,Single
1516,1516,5130,CPU and memory requests,the amount of CPU and memory resources required by pods running on a node,hardware,Single
1517,1517,5131,system pods,"pods that run on every node in the cluster, such as those deployed by a DaemonSet",software,Single
1518,1518,5132,unmanaged pod,a pod that is not managed by a controller or ReplicaSet,software,Single
1519,1519,5133,pod with local storage,a pod that requires access to local storage on a node,software,Single
1520,1520,5136,node group,a collection of nodes in a Kubernetes cluster that can be scaled up or down together,software,Single
1521,1521,5140,Google Compute Engine (GCE),"a service for running virtual machines in the cloud, provided by Google Cloud Platform",cloud platform,Single
1522,1522,5141,Amazon Web Services (AWS),a comprehensive cloud computing platform provided by Amazon,cloud platform,Single
1523,1523,5142,Microsoft Azure,a cloud computing platform provided by Microsoft,cloud platform,Single
1524,1524,5144,cordon,a kubectl command that marks a node as unschedulable but doesn't evict pods,command,Single
1525,1525,5145,drain,a kubectl command that marks a node as unschedulable and evicts all pods from the node,command,Single
1526,1526,5146,uncordon,"a kubectl command that unmarks a node as unschedulable, allowing new pods to be scheduled on it",command,Single
1527,1527,5148,Pod-DisruptionBudget,a Kubernetes resource that specifies the minimum number of pods that must always be available,software,Single
1528,1528,5153,Drain command,"a kubectl command that evicts a node from the cluster, allowing it to be updated or replaced",software,Single
1529,1529,5154,MinAvailable,a field in the Pod-DisruptionBudget resource that specifies the minimum number of pods that must always be available,process,Single
1530,1530,5155,MaxUnavailable,a field in the Pod-DisruptionBudget resource that specifies the maximum number of pods that can be unavailable,process,Single
1531,1531,5164,minAvailable,Parameter for specifying the minimum available pods,parameter,Single
1532,1532,5166,CTRL+C,Key combination for stopping and deleting a pod,key combination,Single
1533,1533,5169,node selector,Mechanism to specify a node for pod scheduling,process,Single
1534,1534,5172,node affinity rules,Alternative to node selectors for pod scheduling,process,Single
1535,1535,5182,describe node,A command used to display information about a node in a Kubernetes cluster,software,Single
1536,1536,5184,Control Plane pods,Pods that run the control plane components of a Kubernetes cluster,application,Single
1537,1537,5185,master node,The master node in a Kubernetes cluster,hardware,Single
1538,1538,5190,node-role.kubernetes.io/master,a taint applied to the master node,kubernetes,Single
1539,1539,5193,Exists:NoExecute,a toleration effect that prevents pods from running on a node if it is unreachable or not ready,kubernetes,Single
1540,1540,5200,Tolerations,Allow pods to run on tainted nodes,process,Single
1541,1541,5204,Taints,Mark nodes with specific conditions,process,Single
1542,1542,5205,kubectl taint command,Command to add custom taints to a node,command,Single
1543,1543,5208,NoSchedule effect,Effect that prevents pod scheduling on a node,effect,Single
1544,1544,5213,pod YAML,YAML snippet for adding tolerations to pods,yaml,Single
1545,1545,5229,toleration,Mechanism to specify how long Kubernetes should wait before rescheduling a pod,process,Single
1546,1546,5230,$ kubectl get po prod-350605-1ph5h -o yaml,Command to retrieve pod information in YAML format,command,Single
1547,1547,5232,node.alpha.kubernetes.io/unreachable,Label for a node that is unreachable,label,Single
1548,1548,5233,tolerationSeconds,Field to specify how long Kubernetes should wait before rescheduling a pod,field,Single
1549,1549,5235,--feature-gates=Taint-BasedEvictions=true,Option to enable taint-based evictions in the Controller Manager,option,Single
1550,1550,5239,Listing 16.6,Reference to a listing in the chapter,reference,Single
1551,1551,5242,Node Selectors,A feature that allows you to specify which nodes a pod can be scheduled on.,Software/Application,Single
1552,1552,5246,GKE (Google Kubernetes Engine),A managed container orchestration service provided by Google Cloud Platform.,Cloud Service,Single
1553,1553,5247,Node Pools,A group of nodes that can be used for scheduling pods.,Software/Application,Single
1554,1554,5248,Region,The geographical region where a node is located.,Hardware/Location,Single
1555,1555,5249,Zone,The availability zone where a node is located.,Hardware/Location,Single
1556,1556,5255,requiredDuringSchedulingIgnoredDuringExecution,"a field in the nodeAffinity rule that specifies the labels a node must have for the pod to be scheduled to it, and ignores existing pods on the node","software,application",Single
1557,1557,5258,key: gpu,a key-value pair in the matchExpressions that specifies the label to match for the node selector,"hardware,label",Single
1558,1558,5259,operator: In,an operator in the matchExpressions that specifies how to match the label for the node selector,"software,application",Single
1559,1559,5260,values: - true,a list of values in the matchExpressions that specifies the value to match for the node selector,"hardware,label",Single
1560,1560,5265,gpu label,a specific label on a node that indicates it has a GPU,hardware,Single
1561,1561,5267,availability zone,"a separate availability zone, such as a datacenter across different countries",hardware,Single
1562,1562,5280,pref,Name of a Deployment with preferred node affinity,Software,Single
1563,1563,5281,preferred-deployment.yaml,Deployment manifest for specifying preferential node affinity rules,Software,Single
1564,1564,5292,zone1,a specific availability zone,hardware,Single
1565,1565,5293,dedicated,a specific share type,hardware,Single
1566,1566,5296,-o wide,option to display pod information in wide format,software,Single
1567,1567,5300,pref-607515-1rnwv,pod name and ID,container,Single
1568,1568,5301,pref-607515-27wp0,pod name and ID,container,Single
1569,1569,5302,pref-607515-5xd0z,pod name and ID,container,Single
1570,1570,5303,pref-607515-jx9wt,pod name and ID,container,Single
1571,1571,5304,pref-607515-mlgqm,pod name and ID,container,Single
1572,1572,5305,Selector-SpreadPriority,Kubernetes scheduling function to spread pods across nodes,software,Single
1573,1573,5309,frontend pod,type of pod for a frontend service,container,Single
1574,1574,5311,pod affinity configuration,configuration to place pods near each other,software,Single
1575,1575,5324,get po -o wide,a command for getting pod information in wide format,command,Single
1576,1576,5326,frontend-podaffinity-host.yaml,a YAML file defining a frontend pod with pod affinity rules,file,Single
1577,1577,5332,podAffinity configuration,a set of rules defining how pods are scheduled based on affinity labels,software,Single
1578,1578,5334,frontend pods,a set of frontend pods that were scheduled to node2.k8s based on pod affinity rules,container,Single
1579,1579,5336,anti-affinity,a scheduling strategy that prevents pods from being deployed on the same node,application,Single
1580,1580,5337,backend-qhqj6,a pod name,container,Single
1581,1581,5340,InterPodAffinityPriority,a scheduling priority for inter-pod affinity,application,Single
1582,1582,5341,SelectorSpreadPriority,a scheduling priority for selector spread,application,Single
1583,1583,5342,NodeAffinityPriority,a scheduling priority for node affinity,application,Single
1584,1584,5345,failure-domain.beta.kubernetes.io/zone,a label key for specifying an availability zone,label,Single
1585,1585,5346,failure-domain.beta.kubernetes.io/region,a label key for specifying a geographical region,label,Single
1586,1586,5363,podAffinityTerm,a specification for the pod affinity term,software,Single
1587,1587,5374,backend-257820-ssrgj,pod name and ID,container,Single
1588,1588,5375,frontend-941083-3mff9,pod name and ID,container,Single
1589,1589,5376,frontend-941083-7fp7d,pod name and ID,container,Single
1590,1590,5377,frontend-941083-cq23b,pod name and ID,container,Single
1591,1591,5378,frontend-941083-m70sw,pod name and ID,container,Single
1592,1592,5379,frontend-941083-wsjv8,pod name and ID,container,Single
1593,1593,5380,podAntiAffinity,property for specifying pod anti-affinity preferences,software,Single
1594,1594,5383,Topology key,key used to specify the topology of a node,software,Single
1595,1595,5385,Pod Affinity,A feature that allows you to schedule pods on specific nodes based on labels and selectors.,Software/Application,Single
1596,1596,5387,Pod AntiAffinity,A feature that prevents pods from being scheduled on the same node based on labels and selectors.,Software/Application,Single
1597,1597,5391,LabelSelector,A selector used to match pods based on labels attached to them.,Software/Application,Single
1598,1598,5392,TopologyKey,"A key used to identify the topology of a node, such as its hostname or IP address.",Software/Framework,Single
1599,1599,5396,$ kubectl get po -l app=frontend -o wide,A command used to retrieve information about pods with a specific label.,Software/Command,Single
1600,1600,5399,taint,a label that prevents pods from being scheduled on a node,process,Single
1601,1601,5402,affinity,a property of a pod that specifies which nodes it can be scheduled on,process,Single
1602,1602,5405,hard requirement,a type of node affinity that requires pods to be scheduled on specific nodes,process,Single
1603,1603,5409,Resources,Components that make up a Kubernetes application,application,Single
1604,1604,5410,Hooks,Functions that run at specific points in the pod lifecycle,process,Single
1605,1605,5411,Init containers,Containers that run before the main container in a pod,container,Single
1606,1606,5418,Volume(s),Provides persistent storage for pods,hardware,Single
1607,1607,5419,ReplicaSet(s),Manages the number of replicas of a pod,software,Single
1608,1608,5421,Health probes,Checks the health of a container or pod,software,Single
1609,1609,5423,Volume mounts,Mounts a volume to a container's file system,hardware,Single
1610,1610,5424,Resource reqs/limits,Defines resource constraints for pods and containers,software,Single
1611,1611,5427,Secret(s),"Stores sensitive data, such as passwords and API keys",software,Single
1612,1612,5429,Persistent Volume Claim,Requests storage resources from a cluster,hardware,Single
1613,1613,5454,clustered app,Application running in multiple pods,application,Single
1614,1614,5458,OOMKiller,Process that kills processes when the node runs out of memory,process,Single
1615,1615,5461,pod-scoped volume,Volume that lives and dies together with the pod,storage,Single
1616,1616,5465,Writes to,An operation that saves data to a file or filesystem.,Process,Single
1617,1617,5467,Writable layer,A part of the container's filesystem where changes can be made.,Software,Single
1618,1618,5468,Read-only layer,A part of the container's filesystem that cannot be modified.,Software,Single
1619,1619,5469,Image layers,Pre-built components that make up a container image.,Software,Single
1620,1620,5471,New container,A new instance of a container created to replace an existing one.,Software,Single
1621,1621,5472,New process,A new program in execution within a container.,Process,Single
1622,1622,5473,Filesystem volumeMount,The ability to mount a filesystem as a directory within a container.,Hardware,Single
1623,1623,5502,fortune-client pod,a pod that requires the fortune Service to be up before its main container starts,application,Single
1624,1624,5503,initContainers field,specifies init containers in a pod's YAML spec,software,Single
1625,1625,5505,while true loop,a loop that runs until the fortune Service is up,programming language,Single
1626,1626,5506,wget command,used to check if the fortune Service is responding to requests,command,Single
1627,1627,5508,init container,An init container is a special type of container that runs before the main container(s) in a pod.,container,Single
1628,1628,5512,fortune-server pod,A pod that runs the fortune server.,application,Single
1629,1629,5515,lifecycle hooks,Hooks that can be used to execute commands or perform HTTP requests when a container starts or stops.,process,Single
1630,1630,5516,post-start hooks,A type of lifecycle hook that is executed when a container starts.,process,Single
1631,1631,5517,pre-stop hooks,A type of lifecycle hook that is executed before a container stops.,process,Single
1632,1632,5518,Post-Start Hook,A hook executed immediately after the container's main process is started.,Container Lifecycle,Single
1633,1633,5522,Pending,The status of a pod while its containers are being created.,Pod Status,Single
1634,1634,5531,postStart,A field in the lifecycle hook specification that specifies a post-start hook to be executed when the container starts.,Lifecycle Hook,Single
1635,1635,5534,sh,The shell used to execute a shell script or binary executable file stored in the container image.,Shell,Single
1636,1636,5536,exit,A command used to terminate the execution of a hook with a specified exit code.,Hook Command,Single
1637,1637,5537,PostStart Hook,A hook executed immediately after a container starts.,container lifecycle,Single
1638,1638,5538,FailedSync,"An error syncing pod, skipping: failed to start container.",pod events,Single
1639,1639,5539,PostStart handler,A command executed immediately after a container starts.,container lifecycle,Single
1640,1640,5540,Get http://10.32.0.2:9090/postStart,An HTTP GET hook handler.,container lifecycle,Single
1641,1641,5541,dial tcp 10.32.0.2:9090,A network error connecting to port 9090.,network,Single
1642,1642,5547,kubectl exec my-pod cat logfile.txt,A command to execute a process in a pod and display its output.,command,Single
1643,1643,5552,scheme,A field used to specify the scheme (HTTP or HTTPS) for an HTTP GET request.,process,Single
1644,1644,5554,httpHeaders,A field used to specify headers that should be sent in an HTTP GET request.,process,Single
1645,1645,5559,shell script,A script that runs as the main container process and can handle signals and pass them on to child processes.,script,Single
1646,1646,5566,deletionTimestamp,A field in a Pod object that indicates when the pod is scheduled to be deleted.,database,Single
1647,1647,5572,spec.terminationGracePeriodSeconds,A field in the pod spec that configures the termination grace period.,command,Single
1648,1648,5579,pod instances,The individual containers that make up a pod.,container,Single
1649,1649,5589,data-migrating pod,A pod that runs a script to migrate data from one location to another.,pod,Single
1650,1650,5593,Service Endpoints,List of IP addresses of pods providing a service,network,Single
1651,1651,5595,HTTP GET,Request method for retrieving data from a server,protocol,Single
1652,1652,5601,Scale down,Action to reduce the number of replicas,process,Single
1653,1653,5605,client requests,requests handled properly by Kubernetes,application,Single
1654,1654,5615,pod deletion notification,notification sent to components when a pod is deleted,event,Single
1655,1655,5623,Iptables rules,Rules used to filter and manage incoming and outgoing network traffic in a Linux system.,network,Single
1656,1656,5624,Connection Refused error,An error that occurs when a client tries to connect to a terminated pod.,error,Single
1657,1657,5625,REST request,A type of HTTP request used for interacting with web services.,protocol,Single
1658,1658,5627,Watcher(s),Components in the Kubernetes control plane that monitor and respond to changes in cluster resources.,software,Single
1659,1659,5633,deletionTimestamp field,A field in the pod's spec that indicates when it will be deleted,database,Single
1660,1660,5634,kube-proxies,Components that modify iptables rules,application,Single
1661,1661,5636,load balancers,Components that distribute traffic across multiple servers,network,Single
1662,1662,5637,client-side load-balancing,A technique used by clients to distribute traffic across multiple servers,application,Single
1663,1663,5642,termination signal,A signal sent to a pod to terminate it,process,Single
1664,1664,5658,FROM scratch directive,Instruction in a Dockerfile for creating an empty image,software,Single
1665,1665,5660,dig,DNS lookup tool,software,Single
1666,1666,5663,latest tag,Tag used to refer to the most recent image version,software,Single
1667,1667,5665,tags,container tags with version designator,software,Single
1668,1668,5669,multi-dimensional labels,multiple labels per resource for selection across dimensions,software,Single
1669,1669,5679,/dev/termination-log,Default file for termination message,file,Single
1670,1670,5683,Container definition,Section in the pod spec that defines a container,software,Single
1671,1671,5685,/var/termination-reason,Custom file for termination message,file,Single
1672,1672,5687,Error,Reason for container termination,error,Single
1673,1673,5688,Exit Code,Code returned by the container when it exits,field,Single
1674,1674,5692,terminationMessagePolicy field,a field that determines how a termination message is handled,field,Single
1675,1675,5693,FallbackToLogsOnError policy,a policy that uses the last few lines of a container's log as its termination message when it terminates unsuccessfully,policy,Single
1676,1676,5694,standard output,the default output stream for an application,output,Single
1677,1677,5695,kubernetes logs command,a command to view container logs,command,Single
1678,1678,5697,cat command,a command to display the contents of a file,command,Single
1679,1679,5698,kubectl cp command,a command to copy files from and into a container,command,Single
1680,1680,5700,log file,a file containing application logs,data storage,Single
1681,1681,5701,termination message,a message written to a file by a container when it terminates,message,Single
1682,1682,5702,application logging,the process of writing logs from an application,logging,Single
1683,1683,5707,logging,process of recording events and errors,application,Single
1684,1684,5708,centralized logging,system for collecting and storing logs in a central location,software,Single
1685,1685,5709,cluster-wide logging,system for collecting and storing logs across multiple nodes,software,Single
1686,1686,5712,ELK stack,collection of tools for logging and analytics,software,Single
1687,1687,5713,EFK stack,modified version of ELK stack using FluentD instead of Logstash,software,Single
1688,1688,5724,Java,A programming language where exception stack traces can span multiple lines.,programming language,Single
1689,1689,5726,node-level FluentD agent,A configuration of the FluentD agent on a node to process JSON logs.,software,Single
1690,1690,5727,logging sidecar container,A container that processes JSON logs and writes them to a file.,container,Single
1691,1691,5728,IDE,An Integrated Development Environment where developers can run apps directly without containers.,application,Single
1692,1692,5729,BACKEND_SERVICE_HOST,An environment variable used to find the coordinates of a backend Service.,environment variable,Single
1693,1693,5730,BACKEND_SERVICE_PORT,An environment variable used to find the port number of a backend Service.,environment variable,Single
1694,1694,5745,Docker volumes,Feature that allows mounting local filesystems into containers,software,Single
1695,1695,5747,DOCKER_HOST,An environment variable that points to the Docker daemon.,environment variable,Single
1696,1696,5748,minikube docker-env,A command that sets up the environment variables for Minikube.,command,Single
1697,1697,5754,Version Control System,"A system for storing and managing code, such as Git or SVN.",system,Single
1698,1698,5761,Kube-applier,A tool that automates the deployment of Kubernetes manifests,application,Single
1699,1699,5762,Version Control System (VCS),A system for managing and tracking changes to code,software,Single
1700,1700,5764,Kubernetes resource manifests,Files that define the configuration of Kubernetes resources,database,Single
1701,1701,5772,CI/CD,Continuous Integration and Continuous Delivery pipeline,process,Single
1702,1702,5773,Fabric8 project,An integrated development platform for Kubernetes,application,Single
1703,1703,5774,Jenkins,An open-source automation system,software,Single
1704,1704,5777,container lifecycle hooks,Hooks that can be used to customize container startup and shutdown,software,Single
1705,1705,5779,manifests,Files that define the desired state of a Kubernetes resource,software,Single
1706,1706,5780,image sizes,small image sizes for apps,software,Single
1707,1707,5784,Mini-kube,local Kubernetes cluster,software,Single
1708,1708,5787,Platform-as-a-Service,PaaS solutions on top of Kubernetes,software,Single
1709,1709,5791,Platform-as-a-Service (PaaS),cloud computing model for deploying applications,application,Single
1710,1710,5792,API servers,components that handle requests to custom API objects,software,Single
1711,1711,5794,OpenShift Container Platform,Red Hat's PaaS solution built on top of Kubernetes,application,Single
1712,1712,5795,Deis Workflow and Helm,tools for deploying applications to Kubernetes,software,Single
1713,1713,5800,CustomResourceDefinitions,Kubernetes feature for defining custom resources,software,Single
1714,1714,5802,Queue resource,High-level object representing a messaging broker,software,Single
1715,1715,5806,Third-PartyResource,Deprecated Kubernetes feature for defining custom resources,software,Single
1716,1716,5810,Website resource,Custom resource type for running static websites in Kubernetes,software,Single
1717,1717,5820,scope,Scope of the custom resource (namespaced or cluster-wide),software,Single
1718,1718,5821,Namespaced,Scope for the custom resource (namespaced),software,Single
1719,1719,5824,website-crd.yaml,File containing the CustomResourceDefinition manifest,software,Single
1720,1720,5825,imaginary-kubia-website.yaml,File containing an imaginary custom resource definition,software,Single
1721,1721,5826,Custom Resource Definition,A CustomResourceDefinition (CRD) is used to define custom API objects.,Software,Single
1722,1722,5828,API Group,A way to group related API resources together.,Software,Single
1723,1723,5829,Version,The version number of an API resource.,Software,Single
1724,1724,5831,Website,A custom API object representing a website.,Software,Single
1725,1725,5835,apps/v1beta1,The API group and version for Deployments.,Software,Single
1726,1726,5836,extensions.example.com,The API group for the custom Website resource.,Software,Single
1727,1727,5846,websites,custom resource type for storing website configurations,database,Single
1728,1728,5848,Website.v1.extensions.example.com,API group and version for the custom Website resource,software,Single
1729,1729,5849,extensions.example.com/v1,API group and version for the custom Website resource,software,Single
1730,1730,5856,website,resource type for storing website configurations,database,Single
1731,1731,5877,nginx server,Web server software,software,Single
1732,1732,5878,git-sync process,Process that keeps a local directory synced with a Git repo,process,Single
1733,1733,5885,DELETED watch event,an event sent by the API server when a Website resource instance is deleted,process,Single
1734,1734,5892,Deployment resource,a Kubernetes resource that manages replicas of a pod,application,Single
1735,1735,5906,serviceAccountName,the name of a service account,software,Single
1736,1736,5910,luksa/website-controller,the image name for the website controller,software,Single
1737,1737,5914,Role Based Access Control (RBAC),a mechanism for controlling access to resources in a Kubernetes cluster,software,Single
1738,1738,5921,kubia Website,a type of Kubernetes resource that represents the kubia website,software,Single
1739,1739,5923,website-controller,the name of the website controller service account,software,Single
1740,1740,5925,proxy sidecar,a type of container that provides proxy functionality,software,Single
1741,1741,5931,"get deploy,svc,po","The command used to list all Deployments, Services, and Pods.",command,Single
1742,1742,5932,cluster-IP,The Cluster IP address of the Service.,network,Single
1743,1743,5940,validation schema,A validation schema to validate the contents of the YAML.,software,Single
1744,1744,5942,gitRepo field,A required field in the Website object.,database,Single
1745,1745,5945,CustomResourceValidation,Feature gate for validating custom objects,software,Single
1746,1746,5946,JSON schema,Schema for validating custom object definitions,software,Single
1747,1747,5950,API server aggregation,Feature for integrating multiple API servers into a single location,software,Single
1748,1748,5952,Custom API server,API server responsible for handling custom objects,software,Single
